Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
camera-on-smooth-blur-primer,Camera On Smooth & Blur Primer,"<p>A silicone-free blurring primer that fills the look of pores on contact and gives foundation a flat, photo-ready surface. Grips makeup for up to 12 hours without drying the skin down.</p><ul><li>Size: 30ml</li><li>Finish: Natural</li><li>Category: Face — Primer</li></ul>",SHEGLAM,Primer,"Face, Primer, Natural, Bestseller",TRUE,Title,Default Title,,,,,SGPK-1000,55,shopify,20,deny,manual,2090,,TRUE,TRUE,,,,FALSE,Camera On Smooth & Blur Primer | SHEGLAM PK,"Buy Camera On Smooth & Blur Primer in Pakistan. A silicone-free blurring primer that fills the look of pores on contact and gives foundation a flat, photo-ready",active
melt-touch-ultra-hydrating-primer,Melt Touch Ultra-Hydrating Primer,<p>A watery gel primer that melts in and leaves skin cushioned rather than tacky. Best under dewy or satin foundations on dry and dehydrated skin.</p><ul><li>Size: 30ml</li><li>Finish: Dewy</li><li>Category: Face — Primer</li></ul>,SHEGLAM,Primer,"Face, Primer, Dewy",TRUE,Title,Default Title,,,,,SGPK-1001,55,shopify,20,deny,manual,1190,,TRUE,TRUE,,,,FALSE,Melt Touch Ultra-Hydrating Primer | SHEGLAM PK,Buy Melt Touch Ultra-Hydrating Primer in Pakistan. A watery gel primer that melts in and leaves skin cushioned rather than tacky. Best under dewy or satin found,active
good-grip-hydrating-primer,Good Grip Hydrating Primer,<p>A hyaluronic-rich gripping primer that holds makeup through heat and humidity. Genuinely useful in Karachi and Lahore summers where everything else slides.</p><ul><li>Size: 40ml</li><li>Finish: Dewy</li><li>Category: Face — Primer</li></ul>,SHEGLAM,Primer,"Face, Primer, Dewy",TRUE,Title,Default Title,,,,,SGPK-1002,65,shopify,20,deny,manual,3990,,TRUE,TRUE,,,,FALSE,Good Grip Hydrating Primer | SHEGLAM PK,Buy Good Grip Hydrating Primer in Pakistan. A hyaluronic-rich gripping primer that holds makeup through heat and humidity. Genuinely useful in Karachi and Lahor,active
good-grip-ultra-blur-primer,Good Grip Ultra-Blur Primer,<p>The mattifying counterpart to the original Good Grip. Soft-focus powders blur texture while the grip base keeps foundation locked in place on oily skin.</p><ul><li>Size: 40ml</li><li>Finish: Matte</li><li>Category: Face — Primer</li></ul>,SHEGLAM,Primer,"Face, Primer, Matte, New Arrival",TRUE,Title,Default Title,,,,,SGPK-1003,65,shopify,20,deny,manual,3990,,TRUE,TRUE,,,,FALSE,Good Grip Ultra-Blur Primer | SHEGLAM PK,Buy Good Grip Ultra-Blur Primer in Pakistan. The mattifying counterpart to the original Good Grip. Soft-focus powders blur texture while the grip base keeps fou,active
glacier-glo-smoothing-primer,Glacier Glo Smoothing Primer,"<p>A cooling, slip-heavy primer with a faint pearl that lifts dull skin before base. Layers cleanly under both liquid and cushion foundations.</p><ul><li>Size: 30ml</li><li>Finish: Radiant</li><li>Category: Face — Primer</li></ul>",SHEGLAM,Primer,"Face, Primer, Radiant",TRUE,Title,Default Title,,,,,SGPK-1004,55,shopify,20,deny,manual,3990,,TRUE,TRUE,,,,FALSE,Glacier Glo Smoothing Primer | SHEGLAM PK,"Buy Glacier Glo Smoothing Primer in Pakistan. A cooling, slip-heavy primer with a faint pearl that lifts dull skin before base. Layers cleanly under both liquid",active
even-better-colour-correcting-primer,Even Better Colour Correcting Primer,"<p>A sheer corrector base in three tones — green for redness, lavender for sallowness, peach for dark circles. Use in patches, not all over.</p><ul><li>Size: 30ml</li><li>Finish: Natural</li><li>Category: Face — Primer</li></ul>",SHEGLAM,Primer,"Face, Primer, Natural, Multi-Shade",TRUE,Shade,Green,,,,,SGPK-1005-GREEN,55,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,FALSE,Even Better Colour Correcting Primer | SHEGLAM PK,"Buy Even Better Colour Correcting Primer in Pakistan. A sheer corrector base in three tones — green for redness, lavender for sallowness, peach for dark circles",active
even-better-colour-correcting-primer,,,,,,,,Lavender,,,,,SGPK-1005-LAVENDER,55,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,,,,
even-better-colour-correcting-primer,,,,,,,,Peach,,,,,SGPK-1005-PEACH,55,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,,,,
pore-eraser-blurring-stick,Pore Eraser Blurring Stick,"<p>A twist-up balm stick for targeted blurring across the nose, chin and cheeks. Press it in with a finger rather than dragging.</p><ul><li>Size: 6g</li><li>Finish: Matte</li><li>Category: Face — Primer</li></ul>",SHEGLAM,Primer,"Face, Primer, Matte, Sale",TRUE,Title,Default Title,,,,,SGPK-1006,31,shopify,20,deny,manual,1690,1890,TRUE,TRUE,,,,FALSE,Pore Eraser Blurring Stick | SHEGLAM PK,"Buy Pore Eraser Blurring Stick in Pakistan. A twist-up balm stick for targeted blurring across the nose, chin and cheeks. Press it in with a finger rather than ",active
complexion-pro-long-lasting-breathable-matte-foundation,Complexion Pro Long Lasting Breathable Matte Foundation,"<p>Medium-to-full coverage with a true matte finish that stays comfortable rather than tight. The bestselling base of the range, in eight shades.</p><ul><li>Size: 30ml</li><li>Finish: Matte</li><li>Category: Face — Foundation</li></ul>",SHEGLAM,Foundation,"Face, Foundation, Matte, Bestseller, Sale, Multi-Shade",TRUE,Shade,Porcelain,,,,,SGPK-1007-PORCELAIN,55,shopify,12,deny,manual,4390,5190,TRUE,TRUE,,,,FALSE,Complexion Pro Long Lasting Breathable Matte Foundation | SHEGLAM PK,Buy Complexion Pro Long Lasting Breathable Matte Foundation in Pakistan. Medium-to-full coverage with a true matte finish that stays comfortable rather than tig,active
complexion-pro-long-lasting-breathable-matte-foundation,,,,,,,,Linen,,,,,SGPK-1007-LINEN,55,shopify,12,deny,manual,4390,5190,TRUE,TRUE,,,,,,,
complexion-pro-long-lasting-breathable-matte-foundation,,,,,,,,Vanilla,,,,,SGPK-1007-VANILLA,55,shopify,12,deny,manual,4390,5190,TRUE,TRUE,,,,,,,
complexion-pro-long-lasting-breathable-matte-foundation,,,,,,,,Golden,,,,,SGPK-1007-GOLDEN,55,shopify,12,deny,manual,4390,5190,TRUE,TRUE,,,,,,,
complexion-pro-long-lasting-breathable-matte-foundation,,,,,,,,Sand,,,,,SGPK-1007-SAND,55,shopify,12,deny,manual,4390,5190,TRUE,TRUE,,,,,,,
complexion-pro-long-lasting-breathable-matte-foundation,,,,,,,,Honey,,,,,SGPK-1007-HONEY,55,shopify,12,deny,manual,4390,5190,TRUE,TRUE,,,,,,,
complexion-pro-long-lasting-breathable-matte-foundation,,,,,,,,Caramel,,,,,SGPK-1007-CARAMEL,55,shopify,12,deny,manual,4390,5190,TRUE,TRUE,,,,,,,
complexion-pro-long-lasting-breathable-matte-foundation,,,,,,,,Espresso,,,,,SGPK-1007-ESPRESSO,55,shopify,4,deny,manual,4390,5190,TRUE,TRUE,,,,,,,
skinfinite-hydrating-foundation,Skinfinite Hydrating Foundation,<p>A skin-like hydrating base with buildable medium coverage and a soft glow. Sits beautifully on dry skin without clinging to flakes.</p><ul><li>Size: 30ml</li><li>Finish: Dewy</li><li>Category: Face — Foundation</li></ul>,SHEGLAM,Foundation,"Face, Foundation, Dewy, Sale, Multi-Shade",TRUE,Shade,Porcelain,,,,,SGPK-1008-PORCELAIN,55,shopify,12,deny,manual,4690,5190,TRUE,TRUE,,,,FALSE,Skinfinite Hydrating Foundation | SHEGLAM PK,Buy Skinfinite Hydrating Foundation in Pakistan. A skin-like hydrating base with buildable medium coverage and a soft glow. Sits beautifully on dry skin without,active
skinfinite-hydrating-foundation,,,,,,,,Linen,,,,,SGPK-1008-LINEN,55,shopify,12,deny,manual,4690,5190,TRUE,TRUE,,,,,,,
skinfinite-hydrating-foundation,,,,,,,,Vanilla,,,,,SGPK-1008-VANILLA,55,shopify,12,deny,manual,4690,5190,TRUE,TRUE,,,,,,,
skinfinite-hydrating-foundation,,,,,,,,Golden,,,,,SGPK-1008-GOLDEN,55,shopify,12,deny,manual,4690,5190,TRUE,TRUE,,,,,,,
skinfinite-hydrating-foundation,,,,,,,,Sand,,,,,SGPK-1008-SAND,55,shopify,12,deny,manual,4690,5190,TRUE,TRUE,,,,,,,
skinfinite-hydrating-foundation,,,,,,,,Honey,,,,,SGPK-1008-HONEY,55,shopify,12,deny,manual,4690,5190,TRUE,TRUE,,,,,,,
skinfinite-hydrating-foundation,,,,,,,,Caramel,,,,,SGPK-1008-CARAMEL,55,shopify,12,deny,manual,4690,5190,TRUE,TRUE,,,,,,,
skinfinite-hydrating-foundation,,,,,,,,Espresso,,,,,SGPK-1008-ESPRESSO,55,shopify,4,deny,manual,4690,5190,TRUE,TRUE,,,,,,,
lock-go-long-lasting-cushion-foundation,Lock & Go Long-Lasting Cushion Foundation,"<p>A refillable cushion compact for touch-ups on the move. Tap, don't sweep, and the coverage builds without going cakey.</p><ul><li>Size: 15g</li><li>Finish: Satin</li><li>Category: Face — Foundation</li></ul>",SHEGLAM,Foundation,"Face, Foundation, Satin, Multi-Shade",TRUE,Shade,Porcelain,,,,,SGPK-1009-PORCELAIN,40,shopify,12,deny,manual,4390,,TRUE,TRUE,,,,FALSE,Lock & Go Long-Lasting Cushion Foundation | SHEGLAM PK,"Buy Lock & Go Long-Lasting Cushion Foundation in Pakistan. A refillable cushion compact for touch-ups on the move. Tap, don't sweep, and the coverage builds wit",active
lock-go-long-lasting-cushion-foundation,,,,,,,,Linen,,,,,SGPK-1009-LINEN,40,shopify,12,deny,manual,4390,,TRUE,TRUE,,,,,,,
lock-go-long-lasting-cushion-foundation,,,,,,,,Vanilla,,,,,SGPK-1009-VANILLA,40,shopify,12,deny,manual,4390,,TRUE,TRUE,,,,,,,
lock-go-long-lasting-cushion-foundation,,,,,,,,Golden,,,,,SGPK-1009-GOLDEN,40,shopify,12,deny,manual,4390,,TRUE,TRUE,,,,,,,
lock-go-long-lasting-cushion-foundation,,,,,,,,Sand,,,,,SGPK-1009-SAND,40,shopify,12,deny,manual,4390,,TRUE,TRUE,,,,,,,
lock-go-long-lasting-cushion-foundation,,,,,,,,Honey,,,,,SGPK-1009-HONEY,40,shopify,12,deny,manual,4390,,TRUE,TRUE,,,,,,,
hideaway-full-coverage-concealer,Hideaway Full-Coverage Concealer,<p>A creamy high-coverage concealer that lifts dark circles without settling into fine lines. Also works to carve out brows and clean up liner.</p><ul><li>Size: 6ml</li><li>Finish: Natural</li><li>Category: Face — Concealer</li></ul>,SHEGLAM,Concealer,"Face, Concealer, Natural, Bestseller, Multi-Shade",TRUE,Shade,Porcelain,,,,,SGPK-1010-PORCELAIN,31,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,FALSE,Hideaway Full-Coverage Concealer | SHEGLAM PK,Buy Hideaway Full-Coverage Concealer in Pakistan. A creamy high-coverage concealer that lifts dark circles without settling into fine lines. Also works to carve,active
hideaway-full-coverage-concealer,,,,,,,,Linen,,,,,SGPK-1010-LINEN,31,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,,,,
hideaway-full-coverage-concealer,,,,,,,,Nude,,,,,SGPK-1010-NUDE,31,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,,,,
hideaway-full-coverage-concealer,,,,,,,,Golden,,,,,SGPK-1010-GOLDEN,31,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,,,,
hideaway-full-coverage-concealer,,,,,,,,Toffee,,,,,SGPK-1010-TOFFEE,31,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,,,,
hideaway-full-coverage-concealer,,,,,,,,Cocoa,,,,,SGPK-1010-COCOA,31,shopify,3,deny,manual,1690,,TRUE,TRUE,,,,,,,
like-magic-12hr-full-coverage-concealer,Like Magic 12HR Full Coverage Concealer,"<p>A longwear matte concealer for spot coverage and blemishes. Dries down firmly, so blend fast and set it while it is still moving.</p><ul><li>Size: 6ml</li><li>Finish: Matte</li><li>Category: Face — Concealer</li></ul>",SHEGLAM,Concealer,"Face, Concealer, Matte, Multi-Shade",TRUE,Shade,Porcelain,,,,,SGPK-1011-PORCELAIN,31,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,FALSE,Like Magic 12HR Full Coverage Concealer | SHEGLAM PK,"Buy Like Magic 12HR Full Coverage Concealer in Pakistan. A longwear matte concealer for spot coverage and blemishes. Dries down firmly, so blend fast and set it",active
like-magic-12hr-full-coverage-concealer,,,,,,,,Linen,,,,,SGPK-1011-LINEN,31,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
like-magic-12hr-full-coverage-concealer,,,,,,,,Nude,,,,,SGPK-1011-NUDE,31,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
like-magic-12hr-full-coverage-concealer,,,,,,,,Golden,,,,,SGPK-1011-GOLDEN,31,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
like-magic-12hr-full-coverage-concealer,,,,,,,,Toffee,,,,,SGPK-1011-TOFFEE,31,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
like-magic-12hr-full-coverage-concealer,,,,,,,,Cocoa,,,,,SGPK-1011-COCOA,31,shopify,3,deny,manual,1490,,TRUE,TRUE,,,,,,,
wake-up-call-undereye-colour-corrector,Wake Up Call Undereye Colour Corrector,<p>A peach-toned corrector that neutralises blue and grey under the eyes before concealer goes on. A little goes a long way.</p><ul><li>Size: 5ml</li><li>Finish: Natural</li><li>Category: Face — Concealer</li></ul>,SHEGLAM,Concealer,"Face, Concealer, Natural, Multi-Shade",TRUE,Shade,Peach,,,,,SGPK-1012-PEACH,30,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,FALSE,Wake Up Call Undereye Colour Corrector | SHEGLAM PK,Buy Wake Up Call Undereye Colour Corrector in Pakistan. A peach-toned corrector that neutralises blue and grey under the eyes before concealer goes on. A little,active
wake-up-call-undereye-colour-corrector,,,,,,,,Bisque,,,,,SGPK-1012-BISQUE,30,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,,,,
wake-up-call-undereye-colour-corrector,,,,,,,,Orange,,,,,SGPK-1012-ORANGE,30,shopify,7,deny,manual,1590,,TRUE,TRUE,,,,,,,
blur-in-a-bottle-loose-setting-powder,Blur In A Bottle Loose Setting Powder,"<p>A finely milled loose powder for baking and setting without flashback. Translucent suits most, banana brightens under the eyes.</p><ul><li>Size: 8g</li><li>Finish: Matte</li><li>Category: Face — Powder</li></ul>",SHEGLAM,Powder,"Face, Powder, Matte, Sale, Multi-Shade",TRUE,Shade,Translucent,,,,,SGPK-1013-TRANSLUCENT,33,shopify,12,deny,manual,990,1190,TRUE,TRUE,,,,FALSE,Blur In A Bottle Loose Setting Powder | SHEGLAM PK,"Buy Blur In A Bottle Loose Setting Powder in Pakistan. A finely milled loose powder for baking and setting without flashback. Translucent suits most, banana bri",active
blur-in-a-bottle-loose-setting-powder,,,,,,,,Banana,,,,,SGPK-1013-BANANA,33,shopify,12,deny,manual,990,1190,TRUE,TRUE,,,,,,,
camera-on-blurring-setting-powder-balm,Camera On Blurring Setting Powder Balm,<p>A powder-to-balm hybrid that presses into the skin instead of sitting on top. Good over creams where loose powder would look dusty.</p><ul><li>Size: 8g</li><li>Finish: Matte</li><li>Category: Face — Powder</li></ul>,SHEGLAM,Powder,"Face, Powder, Matte, Sale",TRUE,Title,Default Title,,,,,SGPK-1014,33,shopify,20,deny,manual,1390,1590,TRUE,TRUE,,,,FALSE,Camera On Blurring Setting Powder Balm | SHEGLAM PK,Buy Camera On Blurring Setting Powder Balm in Pakistan. A powder-to-balm hybrid that presses into the skin instead of sitting on top. Good over creams where loo,active
